# index x y z
781 0.817252 1.14642 2.08375
782 0.817531 1.14403 2.07467
783 0.819867 1.14339 2.07083
784 0.823447 1.14379 2.07014
785 0.826199 1.14349 2.06736
786 0.830626 1.14459 2.06875
787 0.834224 1.14498 2.06804
788 0.839092 1.14642 2.07045
789 0.842282 1.14647 2.06869
790 0.846748 1.14756 2.07004
791 0.850373 1.14795 2.0693
792 2.21469 0.995705 0.667857
793 0.819786 1.14765 2.10124
794 0.818447 1.14389 2.08792
795 0.818733 1.14152 2.07883
796 0.819416 1.13949 2.0708
797 0.822997 1.13989 2.07011
798 0.826166 1.13994 2.06837
799 0.830593 1.14102 2.06976
800 0.833772 1.14107 2.06801
801 0.838639 1.1425 2.07042
802 0.841828 1.14255 2.06866
803 0.846718 1.14397 2.07104
804 0.850769 1.14471 2.07134
805 0.818101 1.14268 2.09805
806 0.817995 1.13998 2.08789
807 0.818282 1.13761 2.0788
808 0.819795 1.13629 2.07287
809 0.823377 1.13668 2.07217
810 0.826549 1.13673 2.07043
811 0.829723 1.13677 2.06869
812 0.833739 1.13751 2.06902
813 0.837764 1.13824 2.06935
814 0.841797 1.13897 2.06966
815 0.846263 1.14004 2.07101
816 0.850314 1.14077 2.07131
817 0.818466 1.13944 2.10012
818 0.817953 1.1364 2.08891
819 0.817418 1.13337 2.07772
820 0.819344 1.13239 2.07284
